datetime,open,high,low,close,volume,amount,code
2026-01-05,1.54,1.652,1.54,1.643,2059615631.0,3327135722.311,159570.SZ
2026-01-06,1.651,1.655,1.626,1.646,1269320634.0,2082554135.944,159570.SZ
2026-01-07,1.647,1.714,1.646,1.704,2157136927.0,3654209237.986,159570.SZ
2026-01-08,1.721,1.741,1.71,1.714,1327173982.0,2288529340.098,159570.SZ
2026-01-09,1.696,1.738,1.684,1.737,1503031300.0,2582143756.451,159570.SZ
2026-01-12,1.74,1.76,1.705,1.724,1729851796.0,2979171914.966,159570.SZ
2026-01-13,1.74,1.784,1.723,1.728,1938203965.0,3413099048.264,159570.SZ
2026-01-14,1.759,1.777,1.72,1.752,1528944972.0,2676774603.563,159570.SZ
2026-01-15,1.752,1.768,1.729,1.737,828351872.0,1443872914.813,159570.SZ
2026-01-16,1.731,1.747,1.716,1.728,843969700.0,1457789515.185,159570.SZ
2026-01-19,1.713,1.722,1.67,1.672,942054646.0,1586522151.204,159570.SZ
2026-01-20,1.669,1.688,1.654,1.663,727340264.0,1212016996.212,159570.SZ
2026-01-21,1.66,1.673,1.646,1.648,819358182.0,1357364585.477,159570.SZ
2026-01-22,1.666,1.677,1.629,1.633,565668562.0,931125596.87,159570.SZ
2026-01-23,1.645,1.669,1.636,1.66,704412851.0,1166132718.891,159570.SZ
2026-01-26,1.66,1.661,1.624,1.628,835595391.0,1364860496.087,159570.SZ
2026-01-27,1.63,1.646,1.613,1.632,823286591.0,1339382857.614,159570.SZ
2026-01-28,1.639,1.66,1.63,1.66,977525379.0,1612841079.111,159570.SZ
2026-01-29,1.65,1.668,1.641,1.642,795783269.0,1312785123.091,159570.SZ
2026-01-30,1.641,1.669,1.601,1.602,1020941850.0,1665908284.4,159570.SZ
2026-02-02,1.6,1.603,1.543,1.547,601962207.0,943821585.66,159570.SZ
2026-02-03,1.563,1.583,1.529,1.58,971415443.0,1515980436.837,159570.SZ
2026-02-04,1.57,1.6,1.546,1.597,1059325876.0,1666045913.868,159570.SZ
2026-02-05,1.568,1.601,1.562,1.579,827685339.0,1303213360.211,159570.SZ
2026-02-06,1.565,1.606,1.553,1.595,1052269522.0,1670965232.857,159570.SZ
2026-02-09,1.614,1.637,1.613,1.619,866017380.0,1405415256.68,159570.SZ
2026-02-10,1.621,1.688,1.615,1.672,1581540436.0,2627489818.576,159570.SZ
2026-02-11,1.677,1.686,1.659,1.661,700800455.0,1169906988.038,159570.SZ
2026-02-12,1.657,1.666,1.619,1.622,691146241.0,1127553991.237,159570.SZ
2026-02-13,1.611,1.628,1.607,1.611,614056164.0,991535313.686,159570.SZ
2026-02-24,1.648,1.652,1.591,1.602,616196666.0,995834916.666,159570.SZ
2026-02-25,1.605,1.62,1.597,1.604,543911993.0,874134815.292,159570.SZ
2026-02-26,1.603,1.605,1.556,1.564,718297960.0,1132492604.506,159570.SZ
2026-02-27,1.545,1.568,1.538,1.549,857916678.0,1330024767.837,159570.SZ
2026-03-02,1.525,1.532,1.484,1.494,1429509053.0,2140445863.649,159570.SZ
2026-03-03,1.496,1.503,1.436,1.438,1088304163.0,1592126493.075,159570.SZ
2026-03-04,1.432,1.453,1.395,1.407,1229860199.0,1743797441.379,159570.SZ
2026-03-05,1.439,1.476,1.425,1.452,1653798607.0,2404557247.651,159570.SZ
2026-03-06,1.442,1.524,1.442,1.521,1759314674.0,2642803903.685,159570.SZ
2026-03-09,1.495,1.504,1.454,1.485,1843712222.0,2728142510.154,159570.SZ
2026-03-10,1.515,1.553,1.514,1.549,1739564789.0,2682910649.446,159570.SZ
2026-03-11,1.549,1.555,1.51,1.518,1279562630.0,1952563152.25,159570.SZ
2026-03-12,1.518,1.536,1.48,1.493,1193839912.0,1795760929.256,159570.SZ
2026-03-13,1.483,1.498,1.46,1.475,908574335.0,1342679067.938,159570.SZ
2026-03-16,1.474,1.517,1.456,1.515,1296172807.0,1935477478.953,159570.SZ
2026-03-17,1.517,1.565,1.509,1.524,1536990145.0,2362747437.093,159570.SZ
2026-03-18,1.523,1.554,1.516,1.549,1337559893.0,2056568433.76,159570.SZ
2026-03-19,1.521,1.537,1.499,1.502,981798198.0,1489591883.794,159570.SZ
2026-03-20,1.509,1.538,1.479,1.483,1242670625.0,1881058529.881,159570.SZ
2026-03-23,1.457,1.461,1.401,1.41,1479564488.0,2114799686.773,159570.SZ
2026-03-24,1.447,1.475,1.431,1.475,1476452816.0,2137012454.098,159570.SZ
2026-03-25,1.489,1.505,1.477,1.483,1252109966.0,1866867531.67,159570.SZ
2026-03-26,1.494,1.513,1.458,1.468,1120874181.0,1666682154.269,159570.SZ
2026-03-27,1.448,1.558,1.448,1.557,2425959144.0,3680203745.527,159570.SZ
2026-03-30,1.533,1.591,1.532,1.572,3052177682.0,4791775286.585,159570.SZ
2026-03-31,1.589,1.595,1.547,1.561,2153729960.0,3389898013.092,159570.SZ
2026-04-01,1.6,1.685,1.593,1.68,2988492938.0,4910325980.019,159570.SZ
2026-04-02,1.675,1.724,1.655,1.68,3044204639.0,5128591698.142,159570.SZ
2026-04-03,1.672,1.69,1.65,1.652,755297307.0,1259128219.243,159570.SZ
2026-04-07,1.666,1.683,1.654,1.666,753119500.0,1256918053.736,159570.SZ
2026-04-08,1.705,1.716,1.647,1.667,2005633171.0,3352061663.44,159570.SZ
2026-04-09,1.652,1.688,1.631,1.632,1530032222.0,2529451891.032,159570.SZ
2026-04-10,1.643,1.648,1.623,1.632,1510060151.0,2470079812.127,159570.SZ
2026-04-13,1.629,1.637,1.614,1.623,1385061332.0,2248396486.915,159570.SZ
2026-04-14,1.632,1.65,1.608,1.626,1594919959.0,2594553967.022,159570.SZ
2026-04-15,1.666,1.707,1.647,1.704,3440871429.0,5775913509.873,159570.SZ
2026-04-16,1.71,1.733,1.69,1.708,1823953169.0,3113379054.383,159570.SZ
2026-04-17,1.708,1.733,1.682,1.698,2241287268.0,3815799934.447,159570.SZ
