datetime,open,high,low,close,volume,amount,code
2026-01-05,1.508,1.531,1.505,1.528,2017810392.0,3071291633.0,513050.SH
2026-01-06,1.534,1.551,1.533,1.543,1238517566.0,1912406965.0,513050.SH
2026-01-07,1.532,1.532,1.511,1.519,1265724900.0,1923929454.0,513050.SH
2026-01-08,1.511,1.512,1.489,1.492,1295146562.0,1942406302.0,513050.SH
2026-01-09,1.503,1.512,1.496,1.502,1156027857.0,1737848579.0,513050.SH
2026-01-12,1.505,1.544,1.5,1.539,1895614383.0,2892428983.0,513050.SH
2026-01-13,1.58,1.584,1.542,1.547,1942950015.0,3036343328.0,513050.SH
2026-01-14,1.561,1.579,1.556,1.571,2149182800.0,3367951194.0,513050.SH
2026-01-15,1.56,1.565,1.534,1.539,1679362336.0,2596508486.0,513050.SH
2026-01-16,1.55,1.553,1.523,1.525,1419612414.0,2179262565.0,513050.SH
2026-01-19,1.513,1.52,1.509,1.513,821515989.0,1243437309.0,513050.SH
2026-01-20,1.507,1.513,1.491,1.496,1433848156.0,2151749978.0,513050.SH
2026-01-21,1.487,1.507,1.486,1.502,1159487197.0,1737656697.0,513050.SH
2026-01-22,1.514,1.518,1.499,1.505,893959220.0,1346619505.0,513050.SH
2026-01-23,1.523,1.53,1.517,1.52,1366835163.0,2080651192.0,513050.SH
2026-01-26,1.52,1.524,1.502,1.508,1009929368.0,1523473867.0,513050.SH
2026-01-27,1.515,1.53,1.504,1.53,1334959190.0,2028462296.0,513050.SH
2026-01-28,1.535,1.556,1.527,1.553,1470279047.0,2268766189.0,513050.SH
2026-01-29,1.534,1.557,1.532,1.545,1272776384.0,1967879088.0,513050.SH
2026-01-30,1.533,1.538,1.52,1.522,1064853156.0,1625397154.0,513050.SH
2026-02-02,1.496,1.506,1.47,1.471,2023863682.0,3010512605.0,513050.SH
2026-02-03,1.488,1.494,1.422,1.463,2345169223.0,3408797025.0,513050.SH
2026-02-04,1.441,1.445,1.421,1.436,2014824433.0,2888728317.0,513050.SH
2026-02-05,1.418,1.424,1.397,1.422,2696943087.0,3794549209.0,513050.SH
2026-02-06,1.394,1.417,1.392,1.404,1866635774.0,2627660794.0,513050.SH
2026-02-09,1.431,1.434,1.419,1.431,1598599706.0,2280066332.0,513050.SH
2026-02-10,1.432,1.446,1.422,1.424,1332384399.0,1910092926.0,513050.SH
2026-02-11,1.423,1.434,1.422,1.425,1097515100.0,1566739596.0,513050.SH
2026-02-12,1.416,1.417,1.389,1.395,2097456376.0,2930762500.0,513050.SH
2026-02-13,1.371,1.38,1.366,1.378,1910655086.0,2622132452.0,513050.SH
